Attended,ID,Date,Event,
Yes,10216,12/13/12,Candlelight Carol 2012 Nashville Reception,
Yes,10216,7/1/06,Annual Fund July 06 events,
Yes,10216,4/16/04,Alumni Weekend 2004,
Yes,10216,3/23/02,Nashville Predators event 3-02,
Yes,10216,10/4/01,Nashville Happy Hour 10-4-01,
Yes,10217,4/12/08,Alumni Weekend 2008 - 1993 Class Reunion,
Yes,10217,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10217,4/16/04,Alumni Weekend 2004,
Yes,10226,4/16/04,Alumni Weekend 2004,
Yes,10227,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10227,4/5/14,Alumni Weekend 2014 - Reception for Nancy Fleming,
Yes,10227,4/4/14,Alumni Weekend 2014,
Yes,10231,9/13/14,Football 2014 - September 13 Tailgating,
Yes,10231,4/5/14,Alumni Weekend 2014 - Campus Kitty 5K Run/Walk,
Yes,10231,12/2/07,Candlelight Carol 2007,
Yes,10231,4/16/04,Alumni Weekend 2004,
Yes,10234,4/19/13,Alumni Weekend 2013 - Half Century Club Luncheon,
Yes,10234,4/21/12,Alumni Weekend 2012 - Class of 1962 Saturday Party,
Yes,10234,4/20/12,Alumni Weekend 2012,
Yes,10234,4/20/12,Alumni Weekend 2012 - Class of 1962 Friday Party,
Yes,10234,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,10234,4/21/06,Alumni Weekend 2006,
Yes,10234,,Class of 1962 Reunion Alumni Weekend 2007,
Yes,10234,,Football Donor Reception October 2013,
Yes,10236,4/19/13,Alumni Weekend 2013 - Half Century Club Luncheon,
Yes,10236,4/21/12,Alumni Weekend 2012 - Class of 1962 Saturday Party,
Yes,10236,4/20/12,Alumni Weekend 2012,
Yes,10236,4/20/12,Alumni Weekend 2012 - Class of 1962 Friday Party,
Yes,10236,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,10236,4/21/06,Alumni Weekend 2006,
Yes,10236,,Class of 1962 Reunion Alumni Weekend 2007,
Yes,10236,,Football Donor Reception October 2013,
Yes,10237,2/29/16,Leadership Donors Reception 2016,
Yes,10237,10/22/15,Odyssey Medal Luncheon 2015,
Yes,10237,4/18/15,Inauguration of President Tsutsui Dinner,
Yes,10237,4/17/15,Alumni Weekend 2015 - Half Century Club Luncheon,
Yes,10237,10/23/14,Founders Day Odyssey Medal Luncheon 2014,
Yes,10237,9/13/14,Football 2014 - September 13 Tailgating,
Yes,10237,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10237,4/4/14,Alumni Weekend 2014,
Yes,10237,3/4/14,Leadership Reception 2014,
Yes,10237,4/19/13,Alumni Weekend 2013 - Half Century Club Luncheon,
Yes,10237,4/2/13,Leadership Reception 2013,
Yes,10237,8/2/12,Hendrix Night at the Travs 2012,
Yes,10237,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,10237,3/6/12,Leadership Reception 2012,
Yes,10237,2/7/12,Hendrix Night at the Rep 2012,
Yes,10237,10/27/11,Founders Day Odyssey Medalist Reception 2011,
Yes,10237,9/24/11,Family Weekend - Presidents Reception 2011,
Yes,10237,8/11/11,Hendrix Night at the Travs 2011,
Yes,10237,5/6/11,Celebrating the Campaign for National Leadership,
Yes,10237,10/21/10,Founders Day Odyssey Medalist Reception 2010,
Yes,10237,6/25/10,Hendrix Night At The Travs 2010,
Yes,10237,5/22/10,Alumni Odyssey College 2010,
Yes,10237,5/6/10,SLTC Appreciation Dinner 2010 (2),
Yes,10237,4/16/10,Half Century Club Luncheon 2010,
Yes,10237,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,10237,10/22/09,Founders Day Reception 2009,
Yes,10237,5/16/09,Alumni Odyssey College 2009,
Yes,10237,5/12/09,Little Rock Huddle May 09,
Yes,10237,4/3/09,Alumni Weekend 2009,
Yes,10237,4/3/09,Alumni Weekend 2009 Half Century Club Luncheon,
Yes,10237,10/23/08,Founders Day Odyssey Medalist Luncheon 2008,
Yes,10237,7/31/08,Hendrix Night at the Travs 2008,
Yes,10237,4/12/08,Alumni Weekend 2008 - 1993 Class Reunion,
Yes,10237,4/11/08,Half Century Club Luncheon 2008,
Yes,10237,4/11/08,Alumni Weekend 2008,
Yes,10237,2/28/08,Target City New York Dinner,
Yes,10237,12/2/07,Candlelight Carol 2007,
Yes,10237,10/26/07,Hendrix College Celebration: CHARTING PROGRESS,
Yes,10237,9/30/07,Family Weekend Legacy Luncheon,
Yes,10237,9/26/07,Wellness and Athletic Center Opening Donor Dinner,
Yes,10237,7/27/07,Hendrix Night at the Redbirds 2007,
Yes,10237,3/14/07,Hendrix Night at the Rep 2007,
Yes,10237,11/16/06,Austin Target City event 11-06,
Yes,10237,11/9/06,Little Rock Huddle 11-09-06,
Yes,10237,11/2/06,St. Louis Target City event 11-06,
Yes,10237,10/26/06,Goodbye Grove last volleyball game,
Yes,10237,10/24/06,Houston Meet N Greet 10-06,
Yes,10237,9/21/06,Little Rock Target Cities Huddle 9-06,
Yes,10237,8/13/06,Memphis Send Off Party 06,
Yes,10237,8/12/06,Little Rock Send Off Party 06,
Yes,10237,8/8/06,Dallas-Ft. Worth Happy Hour 06,
Yes,10237,8/6/06,Dallas-Ft. Worth Send-Off Party '06,
Yes,10237,8/1/06,Little Rock Target Cities Coffee Talk 8-06,
Yes,10237,7/24/06,Houston Happy Hour 7-06,
Yes,10237,7/23/06,Houston Send Off Party 7-06,
Yes,10237,7/12/06,Hendrix Night at the Travs 06,
Yes,10237,6/16/06,Young Alum Happy Hour in Little Rock 6-16-06,
Yes,10237,6/15/06,Memphis Redbirds Target Cities event 6-06,
Yes,10237,5/23/06,Dallas Roughriders Target Cities event May 2006,
Yes,10237,4/27/06,Scholars Luncheon 2006,
Yes,10237,4/22/06,President's Leadership Reception AW 06,
Yes,10237,4/21/06,Half Century Club Luncheon 2006,
Yes,10237,4/11/06,Dallas Target Cities event 4-11-06,
Yes,10237,2/27/06,Memphis Target Cities event 2-27-06,
Yes,10237,2/21/06,Houston Target Cities event 2-21-06,
Yes,10237,1/31/06,Hendrix Night at the Rep 2006,
Yes,10237,3/7/05,Memphis Alumni Mini-Summit 3-05,
Yes,10237,4/16/04,Alumni Weekend 2004,
Yes,10237,2/11/04,Memphis Grizzlies Event 04,
Yes,10237,11/14/02,Memphis Alumni Chapter Event 11-14-02,
Yes,10237,7/12/02,Memphis Redbirds Event,
Yes,10237,7/16/01,Memphis Farewell Party for Dr. Die,
Yes,10237,,Hendrix Night at the Travs 2007,
Yes,10237,,Parent Association Meeting 2007,
Yes,10237,,Little Rock Hendrix Huddle Feb 08,
Yes,10237,,Alumni Odyssey College 2008,
Yes,10237,,Little Rock Huddle September 2008,
Yes,10237,,Little Rock Wonder Place Event,
Yes,10237,,Candlelight Carol Service 2008,
Yes,1024,4/20/01,Alumni Weekend 2001,
Yes,10240,4/4/14,Alumni Weekend 2014,
Yes,10240,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10240,4/16/04,Alumni Weekend 2004,
Yes,10241,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10241,4/4/14,Alumni Weekend 2014,
Yes,10241,4/4/14,Alumni Weekend 2014 - Young Alumni Group Party,
Yes,10241,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10245,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,10245,4/3/09,Alumni Weekend 2009,
Yes,10245,4/16/04,Alumni Weekend 2004,
Yes,10246,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10246,4/4/14,Alumni Weekend 2014 - Young Alumni Group Party,
Yes,10246,4/4/14,Alumni Weekend 2014,
Yes,10246,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10246,4/16/04,Alumni Weekend 2004,
Yes,10247,7/24/06,Houston Happy Hour 7-06,
Yes,10247,3/1/05,Houston Alumni Mini-Summit 2-05,
Yes,10251,1/29/02,Hendrix Night at the Rep 2002,
Yes,10253,6/25/10,Hendrix Night At The Travs 2010,
Yes,10253,4/21/06,Alumni Weekend 2006,
Yes,10258,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10258,5/18/06,Little Rock Huddle 5-18-06,
Yes,10259,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10262,4/18/15,Alumni Weekend 2015 - Class of 1995 Party,
Yes,10262,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,10262,6/15/06,Memphis Redbirds Target Cities event 6-06,
Yes,10262,4/15/05,Alumni Weekend 05,
Yes,10263,4/18/15,Alumni Weekend 2015 - Class of 1995 Party,
Yes,10263,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,10263,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,10263,8/13/06,Memphis Send Off Party 06,
Yes,10263,6/15/06,Memphis Redbirds Target Cities event 6-06,
Yes,10263,4/15/05,Alumni Weekend 05,
Yes,10263,3/7/05,Memphis Alumni Mini-Summit 3-05,
Yes,10265,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10265,2/25/05,Marty & Tricia Rhodes Challenge Event,
Yes,10265,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10265,4/16/04,Alumni Weekend 2004,
Yes,10270,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10270,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10270,4/16/04,Alumni Weekend 2004,
Yes,10276,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10276,2/7/12,Hendrix Night at the Rep 2012,
Yes,10276,4/3/09,Alumni Weekend 2009,
Yes,10276,7/31/08,Hendrix Night at the Travs 2008,
Yes,10276,4/16/04,Alumni Weekend 2004,
Yes,10283,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10283,4/4/14,Alumni Weekend 2014,
Yes,10283,4/4/14,Alumni Weekend 2014 - Young Alumni Group Party,
Yes,10283,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,10283,3/23/02,Nashville Predators event 3-02,
Yes,10283,10/4/01,Nashville Happy Hour 10-4-01,
Yes,10283,3/24/01,Nashville Alumni Event,
Yes,10285,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
Yes,10285,4/4/14,Alumni Weekend 2014,
Yes,10288,4/5/14,Alumni Weekend 2014 - Class of 1994 Party,
