Attended,ID,Date,Event,
Yes,11110,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,11110,1/29/02,Hendrix Night at the Rep 2002,
Yes,11110,,Hendrix Night at the Travs 2007,
Yes,11110,,Little Rock Wonder Place Event,
Yes,11110,,Candlelight Carol Service 2008,
Yes,11111,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11111,7/31/08,Hendrix Night at the Travs 2008,
Yes,11111,7/12/06,Hendrix Night at the Travs 06,
Yes,11111,6/16/06,Young Alum Happy Hour in Little Rock 6-16-06,
Yes,11111,4/9/05,Doe's YPC Event,
Yes,11111,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,11114,11/2/11,Hendrix Night on Capitol Hill,
Yes,11119,4/18/15,Alumni Weekend 2015 - Class of 1995 Party,
Yes,11119,11/16/13,Football 2013 - Nov. 16 Tailgating,
Yes,11119,11/9/13,Football 2013 - Nov. 9 Tailgating,
Yes,11119,10/19/13,Football 2013 - Oct. 19 Tailgating,
Yes,11119,9/28/13,Football 2013 - Sept. 28 Tailgating,
Yes,11119,9/7/13,Football 2013 - Sept. 7 Tailgating,
Yes,11125,11/2/11,Hendrix Night on Capitol Hill,
Yes,11126,5/17/02,President Cloyd's Inauguration - Alumni Reps,
Yes,11127,5/4/14,Gojira/Godzilla Event with Dr. Bill Tsutsui,
Yes,11127,8/2/12,Hendrix Night at the Travs 2012,
Yes,11127,6/25/10,Hendrix Night At The Travs 2010,
Yes,11127,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11127,11/9/06,Little Rock Huddle 11-09-06,
Yes,11127,4/21/06,Alumni Weekend 2006,
Yes,11127,4/15/05,Alumni Weekend 05,
Yes,11127,4/16/04,Alumni Weekend 2004,
Yes,11127,1/29/02,Hendrix Night at the Rep 2002,
Yes,11127,1/23/01,Hendrix Night at The Rep 2001,
Yes,11127,,Class of 1997 Reunion Alumni Weekend 2007,
Yes,11128,6/25/10,Hendrix Night At The Travs 2010,
Yes,11128,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11128,11/9/06,Little Rock Huddle 11-09-06,
Yes,11128,4/21/06,Alumni Weekend 2006,
Yes,11128,4/15/05,Alumni Weekend 05,
Yes,11128,4/16/04,Alumni Weekend 2004,
Yes,11128,1/29/02,Hendrix Night at the Rep 2002,
Yes,11128,1/23/01,Hendrix Night at The Rep 2001,
Yes,11128,,Class of 1997 Reunion Alumni Weekend 2007,
Yes,11128,,Hendrix Night at the Travs 2007,
Yes,11129,4/15/05,Alumni Weekend 05,
Yes,11129,11/14/00,Atlanta Area Park Tavern Event,
Yes,11132,10/18/14,Football 2014 - October 18 Tailgating,
Yes,11136,3/9/08,Dewayne Nash Reception & Dinner,
Yes,11136,,Hendrix Night at the Travs 2007,
Yes,11136,,Alumni Weekend 2009 - Class of 1969 Party,
Yes,11139,4/18/15,Alumni Weekend 2015 - Class of 1995 Party,
Yes,11139,4/17/15,Alumni Weekend 2015,
Yes,11139,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11139,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,11139,4/15/05,Alumni Weekend 05,
Yes,11139,,FY 2013-14 Office Mugshot Visits,
Yes,11141,4/18/15,Alumni Weekend 2015 - Class of 1995 Party,
Yes,11141,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11143,4/15/11,Alumni Weekend 2011,
Yes,11144,4/18/15,Alumni Weekend 2015 - Class of 1995 Party,
Yes,11144,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11146,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11148,4/9/05,Class of 1996 reunion AW 2001,
Yes,11149,4/18/15,Alumni Weekend 2015 - Class of 1995 Party,
Yes,11150,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11151,4/18/15,Alumni Weekend 2015 - Class of 1995 Party,
Yes,11151,11/1/14,Alumni Weekend 2015 Planning Meeting,
Yes,11151,4/2/13,Leadership Reception 2013,
Yes,11151,10/25/12,Founders Day Odyssey Medal Reception 2012,
Yes,11151,2/7/12,Hendrix Night at the Rep 2012,
Yes,11151,10/27/11,Founders Day Odyssey Medalist Reception 2011,
Yes,11151,5/21/11,Alumni Odyssey College 2011,
Yes,11151,5/6/11,Celebrating the Campaign for National Leadership,
Yes,11151,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11151,1/12/10,YPC Event 2010,
Yes,11151,8/7/09,Hendrix Night at the Travelers 2009,
Yes,11151,4/12/08,Alumni Weekend 2008 - 1998 Class Reunion,
Yes,11151,3/14/07,Hendrix Night at the Rep 2007,
Yes,11151,4/21/06,Alumni Weekend 2006,
Yes,11151,4/15/05,Alumni Weekend 05,
Yes,11151,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,11151,3/16/04,Tom Goodwin Professor of the Year Reception,
Yes,11151,1/20/04,Hendrix Night at the Rep 2004,
Yes,11151,1/29/02,Hendrix Night at the Rep 2002,
Yes,11151,8/3/01,Hendrix Night at the Travs 01,
Yes,11151,,Hendrix Night at the Travs 2007,
Yes,11152,4/18/15,Alumni Weekend 2015 - Class of 1995 Party,
Yes,11152,4/17/15,Alumni Weekend 2015,
Yes,11153,4/9/05,Class of 1996 reunion AW 2001,
Yes,11153,1/29/02,Hendrix Night at the Rep 2002,
Yes,11153,1/23/01,Hendrix Night at The Rep 2001,
Yes,11154,4/21/12,Alumni Weekend 2012 - Class of 1997 Reunion Party,
Yes,11158,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11160,4/17/10,Alumni Weekend 2010-1995 Class Party,
Yes,11161,10/27/06,UCA-Hendrix Alumni Game 10-06,
Yes,11166,4/3/09,Alumni Weekend 2009 Half Century Club Luncheon,
Yes,11171,5/19/12,Alumni Odyssey College 2012,
Yes,11171,4/15/11,Alumni Weekend 2011,
Yes,11171,5/22/10,Alumni Odyssey College 2010,
Yes,11171,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,11171,5/16/09,Alumni Odyssey College 2009,
Yes,11171,4/15/05,Alumni Weekend 05,
Yes,11171,2/26/05,Art Johnson 80th Birthday event,
Yes,11176,4/15/11,Alumni Weekend 2011,
Yes,11176,2/26/05,Art Johnson 80th Birthday event,
Yes,11179,,Hendrix Night at the Travs 2007,
Yes,11181,6/7/13,Hendrix at the Arkansas Arts Center 2013,
Yes,11181,4/19/13,Alumni Weekend 2013,
Yes,11181,8/2/12,Hendrix Night at the Travs 2012,
Yes,11181,8/11/11,Hendrix Night at the Travs 2011,
Yes,11181,4/12/08,Alumni Weekend 2008 - 1968 Class Reunion,
Yes,11181,7/12/06,Hendrix Night at the Travs 06,
Yes,11181,2/9/06,Goodbye Grove Gym events,
Yes,11181,12/4/05,Candlelight Carol 2005,
Yes,11181,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,11181,5/9/00,Pre-Inauguration Reception-Conway Friends of Tim,
Yes,11184,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,11186,4/5/14,Alumni Weekend 2014 - Class of 1969 Party,
Yes,11186,9/7/13,Football 2013 - Sept. 7 Tailgating,
Yes,11186,6/7/13,Hendrix at the Arkansas Arts Center 2013,
Yes,11186,10/25/12,Founders Day Odyssey Medal Reception 2012,
Yes,11186,2/7/12,Hendrix Night at the Rep 2012,
Yes,11186,10/27/11,Founders Day Odyssey Medalist Reception 2011,
Yes,11186,10/21/10,Founders Day Odyssey Medalist Reception 2010,
Yes,11186,4/17/10,Alumni Weekend 2010-1970 Class Party,
Yes,11186,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,11186,4/12/08,Alumni Weekend 2008 - 1968 Class Reunion,
Yes,11186,1/31/06,Hendrix Night at the Rep 2006,
Yes,11186,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,11186,4/16/04,Alumni Weekend 2004,
Yes,11186,4/1/04,"Hendrix Out to Lunch, Spring 2004",
Yes,11186,1/20/04,Hendrix Night at the Rep 2004,
Yes,11186,1/29/02,Hendrix Night at the Rep 2002,
Yes,11186,1/23/01,Hendrix Night at The Rep 2001,
Yes,11186,5/9/00,Pre-Inauguration Reception-Conway Friends of Tim,
Yes,11186,,Hendrix Night at the Travs 2007,
Yes,11186,,Alumni Weekend 2009 - Class of 1969 Party,
Yes,11187,4/12/08,Alumni Weekend 2008 - 1968 Class Reunion,
Yes,11187,4/11/08,Alumni Weekend 2008,
Yes,11192,12/2/12,Candlelight Carol Service 2012,
Yes,11192,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,11192,4/16/10,Half Century Club Luncheon 2010,
Yes,11192,4/3/09,Alumni Weekend 2009 Half Century Club Luncheon,
Yes,11192,4/11/08,Alumni Weekend 2008,
Yes,11192,2/7/08,Founder's Day and Odyssey Medalists 2008,
Yes,11192,12/2/07,Candlelight Carol 2007,
Yes,11192,4/13/07,Half Century Club Luncheon 07,
Yes,11192,4/13/07,Alumni Weekend 07,
Yes,11192,12/3/06,Candlelight Carol 2006,
Yes,11192,4/27/06,Scholars Luncheon 2006,
Yes,11192,4/21/06,Half Century Club Luncheon 2006,
Yes,11192,4/21/06,Alumni Weekend 2006,
Yes,11192,12/4/05,Candlelight Carol 2005,
Yes,11192,5/17/05,Kresge Award Banquet(honoring Lucile Shivley) 5-05,
Yes,11192,4/28/05,Scholars Luncheon 4-05,
Yes,11192,4/16/05,Leadership Donors' Reception AW 05,
Yes,11192,4/15/05,Alumni Weekend 05,
Yes,11192,10/27/04,Founders Weekend 04,
Yes,11192,4/16/04,Alumni Weekend 2004,
Yes,11192,5/9/03,Board of Trustees Lunch with Priddys,
Yes,11192,4/18/02,Alumni Weekend 02,
Yes,11192,12/2/01,Candlelight Carol Service Reception 01,
Yes,11192,4/20/01,Alumni Weekend 2001,
Yes,11192,,Candlelight Carol Service 2008,
Yes,11193,12/2/12,Candlelight Carol Service 2012,
Yes,11193,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,11193,4/16/10,Half Century Club Luncheon 2010,
Yes,11193,4/3/09,Alumni Weekend 2009 Half Century Club Luncheon,
Yes,11193,4/13/07,Half Century Club Luncheon 07,
Yes,11193,4/13/07,Alumni Weekend 07,
Yes,11193,12/3/06,Candlelight Carol 2006,
Yes,11193,4/27/06,Scholars Luncheon 2006,
Yes,11193,4/21/06,Half Century Club Luncheon 2006,
Yes,11193,4/21/06,Alumni Weekend 2006,
Yes,11193,12/4/05,Candlelight Carol 2005,
Yes,11193,5/17/05,Kresge Award Banquet(honoring Lucile Shivley) 5-05,
Yes,11193,4/28/05,Scholars Luncheon 4-05,
Yes,11193,4/16/05,Leadership Donors' Reception AW 05,
Yes,11193,4/15/05,Alumni Weekend 05,
Yes,11193,4/16/04,Alumni Weekend 2004,
Yes,11193,5/9/03,Board of Trustees Lunch with Priddys,
Yes,11193,4/18/02,Alumni Weekend 02,
Yes,11193,12/2/01,Candlelight Carol Service Reception 01,
Yes,11193,4/20/01,Alumni Weekend 2001,
Yes,11193,,Candlelight Carol Service 2008,
Yes,11195,9/30/12,Family Weekend - Legacy Luncheon 2012,
Yes,11195,9/28/12,Family Weekend 2012,
Yes,11195,9/26/10,Family Weekend Legacy Lunch 2010,
Yes,11195,9/24/10,Family Weekend 2010,
Yes,11196,5/9/14,Alumni Birthday Bash - May 2014,
Yes,11196,4/11/08,Half Century Club Luncheon 2008,
Yes,11196,4/16/04,Alumni Weekend 2004,
Yes,11196,,FY 2013-14 Office Mugshot Visits,
Yes,11203,4/26/15,BBQ Tour 2015 with Dr. Bill Tsutsui (LR FUMC),
Yes,11203,4/19/15,Alumni Weekend 2015 - Memorial Service,
Yes,11203,11/1/14,Altus Bell Society Luncheon Nov2014,
Yes,11203,10/23/14,Founders Day Odyssey Medalist Reception 2014,
Yes,11203,9/7/13,Football 2013 - Sept. 7 Tailgating,
Yes,11212,8/7/09,Hendrix Night at the Travelers 2009,
Yes,11219,5/19/07,Alumni Odyssey College 2007,
Yes,11219,4/15/05,Alumni Weekend 05,
Yes,11219,,Alumni Odyssey College 2008,
Yes,11227,4/17/10,Alumni Weekend 2010-1960 Class Party,
Yes,11228,4/17/10,Alumni Weekend 2010-1960 Class Party,
Yes,11229,4/4/14,Alumni Weekend 2014,
Yes,1123,4/5/14,Alumni Weekend 2014 - Class of 1979 Party,
Yes,1123,4/20/12,Alumni Weekend 2012 - Class of 1982 Friday Night,
Yes,1123,5/12/09,Little Rock Huddle May 09,
Yes,1123,,Class of 1982 Reunion Alumni Weekend 2007,
Yes,11235,4/18/15,Alumni Weekend 2015 - Class of 1980 Party,
Yes,11235,4/17/15,Alumni Weekend 2015,
Yes,11235,6/7/13,Hendrix at the Arkansas Arts Center 2013,
Yes,11235,12/5/10,Candlelight Carol Service 2010,
Yes,11235,4/15/05,Alumni Weekend 05,
Yes,11245,,Alumni Weekend 2009 - Class of 1979 Party,
Yes,11251,2/26/05,Art Johnson 80th Birthday event,
Yes,11255,8/6/13,Hendrix at the Perot Museum of Nature & Science,
Yes,11255,4/15/11,Alumni Weekend 2011,
Yes,11258,4/18/15,Alumni Weekend 2015 - Alumni Association Awards,
Yes,11258,12/7/14,Candlelight Carol Service 2014,
Yes,11258,12/8/13,Candlelight Carol Service 2013,
Yes,11258,12/2/12,Candlelight Carol Service 2012,
Yes,11258,4/20/12,Warrior Booster Club Hall of Honor Banquet 2012,
Yes,11258,6/25/10,Hendrix Night At The Travs 2010,
Yes,11258,4/3/09,Alumni Weekend 2009,
Yes,11258,7/12/06,Hendrix Night at the Travs 06,
Yes,11258,4/21/06,Alumni Weekend 2006,
Yes,11258,2/9/06,Goodbye Grove Gym events,
Yes,11258,8/23/00,Night at the Travs 00,
Yes,11259,12/6/15,Candlelight Carol Service 2015,
Yes,11259,11/7/15,Football 2015 - November 7 Tailgating,
Yes,11259,4/18/15,Inauguration of President Tsutsui Dinner,
Yes,11259,4/18/15,Inauguration of President William M. Tsutsui,
Yes,11259,4/18/15,Alumni Weekend 2015 - Alumni Association Awards,
Yes,11259,12/7/14,Candlelight Carol Service 2014,
Yes,11259,6/8/14,Conway Open House - Bill Tsutsui & Marjorie Swann,
Yes,11259,12/8/13,Candlelight Carol Service 2013,
Yes,11259,4/19/13,Alumni Weekend 2013,
Yes,11259,4/19/13,Alumni Weekend 2013 Warrior Hall of Honor,
Yes,11259,12/2/12,Candlelight Carol Service 2012,
Yes,11259,4/22/12,Alumni Weekend 2012 - Memorial Service,
Yes,11259,4/20/12,Warrior Booster Club Hall of Honor Banquet 2012,
Yes,11259,3/6/12,Leadership Reception 2012,
Yes,11259,2/7/12,Hendrix Night at the Rep 2012,
Yes,11259,12/4/11,Candlelight Carol Service 2011,
Yes,11259,5/6/11,Celebrating the Campaign for National Leadership,
Yes,11259,12/5/10,Candlelight Carol Service 2010,
Yes,11259,4/17/10,Alumni Weekend 2010-1970 Class Party,
Yes,11259,12/6/09,Candlelight Carol Service 2009,
Yes,11259,8/7/09,Hendrix Night at the Travelers 2009,
Yes,11259,2/7/08,Founder's Day and Odyssey Medalists 2008,
Yes,11259,12/2/07,Candlelight Carol 2007,
Yes,11259,9/26/07,Wellness and Athletic Center Opening Donor Dinner,
Yes,11259,3/14/07,Hendrix Night at the Rep 2007,
Yes,11259,11/3/06,Goodbye Grove Swimming Event,
Yes,11259,4/22/06,President's Leadership Reception AW 06,
Yes,11259,12/4/05,Candlelight Carol 2005,
Yes,11259,5/17/05,Kresge Award Banquet(honoring Lucile Shivley) 5-05,
Yes,11259,4/16/05,Leadership Donors' Reception AW 05,
Yes,11259,10/27/04,Founders Weekend 04,
Yes,11259,3/16/04,Tom Goodwin Professor of the Year Reception,
Yes,11259,5/17/02,Inaugural Ball Guest Responses,
Yes,11259,7/13/01,Campus Farewell Event for Dr. Die,
Yes,11259,8/23/00,Night at the Travs 00,
Yes,11259,,Candlelight Carol Service 2008,
Yes,11261,11/7/15,Football 2015 - November 7 Tailgating,
Yes,11261,4/18/15,Alumni Weekend 2015 - Alumni Association Awards,
Yes,11261,4/20/12,Warrior Booster Club Hall of Honor Banquet 2012,
Yes,11261,5/6/11,Celebrating the Campaign for National Leadership,
Yes,11261,9/26/07,Wellness and Athletic Center Opening Donor Dinner,
Yes,11261,,Alumni Weekend 2009 - Class of 1979 Party,
Yes,11262,4/18/15,Inauguration of President Tsutsui Dinner,
Yes,11262,4/18/15,Alumni Weekend 2015 - Alumni Association Awards,
Yes,11262,4/18/15,Inauguration of President Tsutsui for Delegates,
Yes,11262,4/18/15,Alumni Weekend 2015 - Class of 1975 Party,
Yes,11262,6/8/14,Conway Open House - Bill Tsutsui & Marjorie Swann,
Yes,11262,9/26/07,Wellness and Athletic Center Opening Donor Dinner,
Yes,11262,5/20/06,Alumni Odyssey College 2006,
Yes,11262,4/27/06,Scholars Luncheon 2006,
Yes,11262,4/22/06,President's Leadership Reception AW 06,
Yes,11262,4/21/06,Half Century Club Luncheon 2006,
Yes,11262,2/9/06,Goodbye Grove Gym events,
Yes,11262,1/31/06,Hendrix Night at the Rep 2006,
Yes,11262,12/4/05,Candlelight Carol 2005,
Yes,11262,10/27/04,Founders Weekend 04,
Yes,11262,8/23/00,Night at the Travs 00,
Yes,11262,5/9/00,Pre-Inauguration Reception-Conway Friends of Tim,
Yes,11263,4/20/01,Alumni Weekend 2001,
Yes,11264,4/20/01,Alumni Weekend 2001,
Yes,11269,7/31/14,BBQ Tour 2014 with Dr. Bill Tsutsui (Hot Springs),
Yes,11269,4/19/13,Alumni Weekend 2013 - Half Century Club Luncheon,
Yes,11269,4/22/12,Alumni Weekend 2012 - Memorial Service,
Yes,11269,4/21/12,Alumni Weekend 2012 - Class of 1962 Saturday Party,
Yes,11269,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,11269,4/20/12,Alumni Weekend 2012 - Class of 1962 Friday Party,
Yes,11269,,Class of 1962 Reunion Alumni Weekend 2007,
Yes,1127,4/19/02,Half Century Club Luncheon 02,
Yes,11276,4/6/14,Alumni Weekend 2014 - Memorial Service,
Yes,11276,4/5/14,Alumni Weekend 2014 - Class of 1974 Party,
Yes,11276,4/4/14,Alumni Weekend 2014,
Yes,11278,8/7/09,Hendrix Night at the Travelers 2009,
Yes,11278,,Little Rock Huddle September 2008,
Yes,11279,2/29/16,Leadership Donors Reception 2016,
Yes,11279,10/22/15,Founders Day Odyssey Medalist Reception 2015,
Yes,11279,4/18/15,Inauguration of President William M. Tsutsui,
Yes,11279,4/18/15,Inauguration of President Tsutsui Dinner,
Yes,11279,4/18/15,Alumni Weekend 2015 - Alumni Association Awards,
Yes,11279,4/17/15,Alumni Weekend 2015 - Half Century Club Luncheon,
Yes,11279,10/23/14,Founders Day Odyssey Medal Luncheon 2014,
Yes,11279,10/23/14,Founders Day Odyssey Medalist Reception 2014,
Yes,11279,9/18/14,BBQ Tour 2014 with Dr. Bill Tsutsui (LR YA),
Yes,11279,9/9/14,BBQ Tour 2014 with Dr. Bill Tsutsui (Pine Bluff),
Yes,11279,7/31/14,BBQ Tour 2014 with Dr. Bill Tsutsui (Hot Springs),
Yes,11279,6/8/14,Conway Open House - Bill Tsutsui & Marjorie Swann,
Yes,11279,5/4/14,Gojira/Godzilla Event with Dr. Bill Tsutsui,
Yes,11279,4/4/14,Alumni Weekend 2014,
Yes,11279,4/4/14,Alumni Weekend 2014 - Half Century Club Luncheon,
Yes,11279,3/4/14,Leadership Reception 2014,
Yes,11279,10/24/13,Founders Day Odyssey Medal Reception 2013,
Yes,11279,4/19/13,Alumni Weekend 2013,
Yes,11279,4/19/13,Alumni Weekend 2013 - Half Century Club Luncheon,
Yes,11279,4/19/13,Alumni Weekend 2013 Warrior Hall of Honor,
Yes,11279,4/2/13,Leadership Reception 2013,
Yes,11279,10/25/12,Founders Day Odyssey Medal Reception 2012,
Yes,11279,8/2/12,Hendrix Night at the Travs 2012,
Yes,11279,4/20/12,Alumni Weekend 2012 - Half Century Club Luncheon,
Yes,11279,4/20/12,Alumni Weekend 2012,
Yes,11279,4/20/12,Warrior Booster Club Hall of Honor Banquet 2012,
Yes,11279,3/6/12,Leadership Reception 2012,
Yes,11279,2/7/12,Hendrix Night at the Rep 2012,
Yes,11279,10/27/11,Founders Day Odyssey Medalist Reception 2011,
Yes,11279,8/26/11,Alumni Birthday Bash - August 2011 (and Visits),
Yes,11279,8/11/11,Hendrix Night at the Travs 2011,
Yes,11279,5/6/11,Celebrating the Campaign for National Leadership,
Yes,11279,4/16/11,Alumni Weekend 2011 - Class of 1976,
Yes,11279,5/6/10,SLTC Appreciation Dinner 2010 (2),
Yes,11279,5/12/09,Little Rock Huddle May 09,
Yes,11279,7/31/08,Hendrix Night at the Travs 2008,
Yes,11279,10/26/07,Hendrix College Celebration: CHARTING PROGRESS,
Yes,11279,9/26/07,Wellness and Athletic Center Opening Donor Dinner,
Yes,11279,4/22/06,President's Leadership Reception AW 06,
Yes,11279,4/21/06,Alumni Weekend 2006,
Yes,11279,12/4/05,Candlelight Carol 2005,
Yes,11279,11/19/05,Alumni Weekend 2006 Planning meeting,
Yes,11279,4/16/05,Leadership Donors' Reception AW 05,
Yes,11279,10/27/04,Founders Weekend 04,
Yes,11279,9/19/04,Rock the Vote Brunch 9-04,
Yes,11279,5/17/02,Inaugural Ball Guest Responses,
Yes,11279,1/17/02,Friends of Tim (Little Rock) Hosts,
Yes,11279,12/2/01,Candlelight Carol Service Reception 01,
Yes,11279,7/14/01,LR Cocktail Buffet Farewell Party for AHD,
Yes,11279,,Little Rock Hendrix Huddle Feb 08,
Yes,11281,4/3/09,Alumni Weekend 2009,
Yes,11281,4/16/04,Alummni Weekend 04 - Friday Night Reunions,
Yes,11281,4/16/04,Alumni Weekend 2004,
Yes,11281,,Alumni Weekend 2009 - Class of 1984 Party,
Yes,11285,4/18/15,Inauguration of President Tsutsui Dinner,
Yes,11285,4/18/15,Inauguration of President William M. Tsutsui,
Yes,11285,4/18/15,Alumni Weekend 2015 - Class of 1975 Party,
Yes,11285,4/18/15,Alumni Weekend 2015 - Alumni Association Awards,
Yes,11285,4/18/15,Inauguration of President Tsutsui - Worship Servic,
Yes,11285,5/23/13,Hendrix at the Walton Arts Center 2013,
Yes,11285,8/2/12,Hendrix Night at the Travs 2012,
Yes,11285,4/21/12,Alumni Weekend 2012 - Class of 1972 Saturday Night,
Yes,11285,4/20/12,Alumni Weekend 2012 - Class of 1972 Friday Night,
Yes,11285,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,11285,4/9/05,AW 2002 C/O 1972 Reunion Party,
Yes,11285,,Class of 1972 Reunion Alumni Weekend 2007,
Yes,11285,,Little Rock Hendrix Huddle Feb 08,
Yes,11286,2/29/16,Leadership Donors Reception 2016,
Yes,11286,4/18/15,Inauguration of President Tsutsui Dinner,
Yes,11286,4/18/15,Inauguration of President William M. Tsutsui,
Yes,11286,4/18/15,Alumni Weekend 2015 - Class of 1975 Party,
Yes,11286,4/18/15,Alumni Weekend 2015 - Alumni Association Awards,
Yes,11286,5/23/13,Hendrix at the Walton Arts Center 2013,
Yes,11286,8/2/12,Hendrix Night at the Travs 2012,
Yes,11286,4/21/12,Alumni Weekend 2012 - Class of 1972 Saturday Night,
Yes,11286,4/20/12,Alumni Weekend 2012 - Class of 1972 Friday Night,
Yes,11286,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,11286,,Class of 1972 Reunion Alumni Weekend 2007,
Yes,11292,4/18/15,Alumni Weekend 2015 - Class of 1975 Party,
Yes,11292,4/20/13,Alumni Weekend 2013 - Memorial Service,
Yes,11292,4/19/13,Alumni Weekend 2013,
Yes,11292,9/30/12,Family Weekend - Legacy Luncheon 2012,
Yes,11292,9/28/12,Family Weekend 2012,
Yes,11292,4/22/12,Alumni Weekend 2012 - Memorial Service,
Yes,11292,4/15/11,Alumni Weekend 2011,
Yes,11292,9/24/10,Family Weekend 2010,
Yes,11292,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,11292,9/25/09,Family Weekend 2009,
Yes,11292,4/12/08,Alumni Weekend 2008 - 1978 Class Reunion,
Yes,11292,4/9/05,Class of 1976 reunion AW 2001,
Yes,11293,4/18/15,Alumni Weekend 2015 - Class of 1975 Party,
Yes,11293,4/20/13,Alumni Weekend 2013 - Memorial Service,
Yes,11293,4/19/13,Alumni Weekend 2013,
Yes,11293,9/30/12,Family Weekend - Legacy Luncheon 2012,
Yes,11293,9/28/12,Family Weekend 2012,
Yes,11293,4/22/12,Alumni Weekend 2012 - Memorial Service,
Yes,11293,4/20/12,Alumni Weekend 2012,
Yes,11293,4/15/11,Alumni Weekend 2011,
Yes,11293,9/24/10,Family Weekend 2010,
Yes,11293,4/16/10,Alumni Weekend 2010 - Weekend Registration,
Yes,11293,9/25/09,Family Weekend 2009,
Yes,11293,4/12/08,Alumni Weekend 2008 - 1978 Class Reunion,
Yes,11293,4/9/05,Class of 1976 reunion AW 2001,
Yes,11294,4/20/12,Alumni Weekend 2012,
Yes,11296,4/14/07,Alumni Weekend 07 Leadership Donors reception,
Yes,11296,4/13/07,Alumni Weekend 07,
Yes,11296,5/23/06,Dallas Roughriders Target Cities event May 2006,
Yes,11296,,Class of 1972 Reunion Alumni Weekend 2007,
Yes,11311,10/22/15,Founders Day Odyssey Medalist Reception 2015,
Yes,11311,10/22/15,Odyssey Medal Luncheon 2015,
Yes,11311,10/23/14,Founders Day Odyssey Medal Luncheon 2014,
Yes,11311,10/23/14,Founders Day Odyssey Medalist Reception 2014,
Yes,11311,10/24/13,Founders Day Odyssey Medal Reception 2013,
Yes,11311,10/25/12,Founders Day Odyssey Medal Reception 2012,
Yes,11311,5/6/11,Celebrating the Campaign for National Leadership,
Yes,11311,10/21/10,Founders Day Odyssey Medalist Reception 2010,
Yes,11311,10/22/09,Founders Day Reception 2009,
Yes,11311,10/23/08,Founders Day Odyssey Medalist Luncheon 2008,
Yes,11311,2/7/08,Founder's Day and Odyssey Medalists 2008,
Yes,11311,10/26/07,Hendrix College Celebration: CHARTING PROGRESS,
Yes,11311,4/16/05,Leadership Donors' Reception AW 05,
Yes,11311,4/15/05,Alumni Weekend 05,
Yes,11311,10/27/04,Founders Weekend 04,
Yes,11323,4/4/14,Warrior Booster Club Hall of Honor Banquet 2014,
Yes,11323,4/15/05,Alumni Weekend 05,
Yes,11339,3/6/12,Leadership Reception 2012,
Yes,11339,5/6/11,Celebrating the Campaign for National Leadership,
Yes,11339,5/17/02,Inaugural Ball Guest Responses,
Yes,11339,7/30/01,Butler Plaza Dedication,
Yes,11339,7/14/01,LR Cocktail Buffet Farewell Party for AHD,
Yes,11346,6/19/14,Crystal Bridges event with Dr. Bill Tsutsui,
Yes,11346,5/23/13,Hendrix at the Walton Arts Center 2013,
Yes,11346,4/21/12,Alumni Weekend 2012 - Class of 1967 Reunion Party,
Yes,11346,4/6/11,Fayetteville Gathering April 2011,
Yes,11346,6/17/04,Northwest Arkansas reception at Webb home 6-04,
Yes,11346,4/22/03,Fayetteville Alumni Chapter 03,
Yes,11346,11/7/01,Fayetteville Alumni Event 11-01,
Yes,11346,,Class of 1967 Reunion Alumni Weekend 2007,
Yes,11346,,April 2007 Fayetteville Event,
Yes,11347,6/19/14,Crystal Bridges event with Dr. Bill Tsutsui,
Yes,11347,4/21/12,Alumni Weekend 2012 - Class of 1967 Reunion Party,
Yes,11347,6/17/04,Northwest Arkansas reception at Webb home 6-04,
Yes,11347,4/22/03,Fayetteville Alumni Chapter 03,
Yes,11347,11/7/01,Fayetteville Alumni Event 11-01,
Yes,11347,,Class of 1967 Reunion Alumni Weekend 2007,
Yes,11348,10/23/14,Founders Day Odyssey Medalist Reception 2014,
